resume_text,target_category
Epic Clarity Caboodle SQL Server Tableau Power BI compliance reporting,Data Analyst / Data Engineer
SSIS ETL pipelines SQL transformation data warehousing dashboards,Data Analyst / Data Engineer
Python pandas SQL data pipelines analytics reporting,Data Analyst / Data Engineer
Power BI DAX SQL data modeling KPI dashboards,Data Analyst / Data Engineer
healthcare BI Clarity Caboodle regulatory reporting,Data Analyst / Data Engineer
data warehouse fact dimension modeling validation,Data Analyst / Data Engineer
ETL developer Python SQL SSIS scheduled pipelines,Data Analyst / Data Engineer
clinical data analyst quality metrics sepsis compliance,Data Analyst / Data Engineer
analytics developer SSRS SSIS data marts,Data Analyst / Data Engineer
business intelligence stakeholder reporting metrics,Data Analyst / Data Engineer
HR generalist employee relations onboarding benefits policy performance,Human Resources
talent acquisition sourcing screening ATS candidate engagement,Human Resources
recruiter job postings resume screening interviews offers,Human Resources
HR business partner workforce planning policy engagement,Human Resources
benefits specialist open enrollment HRIS updates,Human Resources
payroll HR coordinator onboarding employee records,Human Resources
recruiting coordinator ATS interview scheduling,Human Resources
employee relations workplace investigations conflict resolution,Human Resources
HR operations Workday reporting process improvement,Human Resources
human resources manager payroll benefits compliance,Human Resources
registered nurse patient care medication administration documentation,Clinical / Healthcare
clinical coordinator hospital operations quality patient safety,Clinical / Healthcare
medical assistant patient intake vital signs EHR documentation,Clinical / Healthcare
quality improvement specialist chart review regulatory reporting,Clinical / Healthcare
respiratory therapist ventilator management patient assessments,Clinical / Healthcare
case manager discharge planning utilization review,Clinical / Healthcare
clinical documentation specialist chart review coding compliance,Clinical / Healthcare
nurse manager staffing clinical quality patient safety,Clinical / Healthcare
laboratory technologist specimen processing result validation,Clinical / Healthcare
pharmacy technician medication preparation inventory,Clinical / Healthcare
software engineer JavaScript React Node REST APIs Git,Software Engineering
full stack developer frontend backend databases CI CD cloud,Software Engineering
backend engineer Python Django APIs PostgreSQL Docker,Software Engineering
frontend developer React TypeScript HTML CSS UX,Software Engineering
DevOps engineer Docker Kubernetes CI CD monitoring,Software Engineering
Java Spring Boot REST services automated testing,Software Engineering
mobile developer Swift Kotlin API integration,Software Engineering
cloud engineer AWS infrastructure as code Python,Software Engineering
QA automation Selenium regression testing CI,Software Engineering
C sharp dot net SQL Server API application support,Software Engineering
finance analyst budgeting forecasting variance Excel modeling,Finance / Accounting
accountant reconciliations journal entries accounts payable receivable,Finance / Accounting
financial planning analyst revenue analysis reporting,Finance / Accounting
controller accounting operations audit compliance controls,Finance / Accounting
accounts payable invoice processing vendor payments,Finance / Accounting
senior accountant general ledger month end close,Finance / Accounting
budget analyst cost center analysis forecasting,Finance / Accounting
revenue cycle analyst billing claims denials,Finance / Accounting
tax analyst compliance filings reconciliation,Finance / Accounting
accounting manager close process financial controls,Finance / Accounting
