text,category
I need help with health insurance enrollment.,Benefits
I need help with dental coverage portal.,Benefits
I need help with add spouse to benefits plan.,Benefits
I need help with open enrollment deadlines.,Benefits
I need help with change medical plan.,Benefits
I need help with vision insurance incorrect.,Benefits
I need help with retirement plan benefits.,Benefits
I need help with life event benefits enrollment.,Benefits
I need help with beneficiary information update.,Benefits
I need help with dependent missing from coverage.,Benefits
I need help with paycheck amount incorrect.,Payroll
I need help with did not receive direct deposit.,Payroll
I need help with copy of my W2 form.,Payroll
I need help with overtime hours missing from paycheck.,Payroll
I need help with direct deposit account update.,Payroll
I need help with wrong hourly rate.,Payroll
I need help with change tax withholding.,Payroll
I need help with paystub deductions question.,Payroll
I need help with bonus payment missing.,Payroll
I need help with correct payroll information.,Payroll
I need help with request vacation time.,Leave
I need help with submit sick leave.,Leave
I need help with apply for family medical leave.,Leave
I need help with check PTO balance.,Leave
I need help with request maternity leave.,Leave
I need help with submit bereavement leave.,Leave
I need help with enter time off in system.,Leave
I need help with confirm approved vacation days.,Leave
I need help with extend medical leave.,Leave
I need help with cancel PTO request.,Leave
I need help with cannot log into employee self service portal.,IT Access
I need help with password reset link not working.,IT Access
I need help with need access to HR system.,IT Access
I need help with account locked after too many login attempts.,IT Access
I need help with need access to Workday.,IT Access
I need help with cannot access employee profile.,IT Access
I need help with HR portal access denied.,IT Access
I need help with authentication reset needed.,IT Access
I need help with login credentials not working.,IT Access
I need help with access for recruiting dashboard.,IT Access
I need help with status of job application.,Recruiting
I need help with update interview schedule.,Recruiting
I need help with feedback from recent interview.,Recruiting
I need help with candidate reschedule phone screen.,Recruiting
I need help with post a new job opening.,Recruiting
I need help with review candidate application.,Recruiting
I need help with schedule final interviews.,Recruiting
I need help with send offer letter.,Recruiting
I need help with applicant tracking system candidate updates.,Recruiting
I need help with resume screening for this role.,Recruiting
I need help with workplace conduct concern.,Employee Relations
I need help with conflict with my manager.,Employee Relations
I need help with guidance on harassment policy.,Employee Relations
I need help with resolve team dispute.,Employee Relations
I need help with unfair treatment at work.,Employee Relations
I need help with workplace investigation discussion.,Employee Relations
I need help with complaint about supervisor.,Employee Relations
I need help with code of conduct policy guidance.,Employee Relations
I need help with conflict between team members.,Employee Relations
I need help with disciplinary action documentation.,Employee Relations
